,Enzyme,Subsystem
340,Q42538,cysteine synthesis
341,Q42547,photorespiration
342,Q42547,glycine synthesis
343,Q42560,tricarboxylic acid cycle
344,Q42560,pyruvate metabolism
345,Q42560,glyoxylate cycle
346,Q42563,ADN salvage
347,Q42577,oxidative phosphorylation
348,Q42581,PRPP synthesis
349,Q42583,PRPP synthesis
350,Q42586,UMP synthesis
351,Q42588,cysteine synthesis
352,Q42599,oxidative phosphorylation
353,Q42601,arginine synthesis
354,Q42601,UMP synthesis
355,Q43127,glutamine synthesis
356,Q43314,glutamate synthesis
357,Q43314,glutamate degradation
358,Q43727,pentose phosphate pathway
359,Q43870,sulfur assimilation
360,Q56WN1,glutamine synthesis
361,Q56X52,
362,Q56YA5,photorespiration
363,Q56YA5,glycine synthesis
364,Q56YA5,glycine synthesis
365,Q56YU0,glycine synthesis
366,Q5E924,glycolysis
367,Q5GM68,gluconeogenesis
368,Q5HZ05,trehalose synthesis
369,Q5M729,pyruvate decarboxylation
370,Q67X99,trehalose synthesis
371,Q67XC9,trehalose synthesis
372,Q67XD9,sucrose degradation
373,Q6NKX1,proline degradation
374,Q6NPM8,histidine synthesis
375,Q70DU8,glycine synthesis
376,Q70E96,glycine synthesis
377,Q84JA6,cellulose synthesis
378,Q84TI2,IMP synthesis
379,Q84VQ4,
380,Q84VW9,gluconeogenesis
381,Q84WW2,pentose phosphate pathway
382,Q8GSJ1,histidine synthesis
383,Q8GVE8,gluconeogenesis
384,Q8GWA1,
385,Q8GWG2,trehalose synthesis
386,Q8GWU0,photorespiration
387,Q8GXG1,aspartate synthesis
388,Q8GXR9,
389,Q8GXW5,glutamine synthesis
390,Q8GY88,Shikimate pathway
391,Q8GYY0,aspartate synthesis
392,Q8GYY0,
393,Q8H103,starch synthesis
394,Q8H103,sucrose synthesis
395,Q8H103,sucrose degradation
396,Q8H103,gluconeogenesis
397,Q8H107,tricarboxylic acid cycle
398,Q8H1E2,pyruvate metabolism
399,Q8L743,pentose phosphate pathway
400,Q8L762,starch degradation
401,Q8L778,cellulose synthesis
402,Q8L7R2,methionine synthesis
403,Q8L7R2,threonine synthesis
404,Q8L817,carbon fixation
405,Q8LAD0,glutamate synthesis
406,Q8LAD2,tricarboxylic acid cycle
407,Q8LAX0,methionine synthesis
408,Q8LB01,lysine synthesis
409,Q8LB02,tricarboxylic acid cycle
410,Q8LB02,oxidative phosphorylation
411,Q8LBZ7,tricarboxylic acid cycle
412,Q8LBZ7,oxidative phosphorylation
413,Q8LCA1,light reactions
414,Q8LCE1,glutamine synthesis
415,Q8LEE7,
416,Q8LEV7,pentose phosphate pathway
417,Q8LFC0,tricarboxylic acid cycle
418,Q8LG70,pentose phosphate pathway
419,Q8LG77,tricarboxylic acid cycle
420,Q8LPI9,tryptophan synthesis
421,Q8LPJ5,pyruvate metabolism
422,Q8LPK5,cellulose synthesis
423,Q8RU07,fatty acid synthesis
424,Q8RWN9,pyruvate decarboxylation
425,Q8RWV0,Calvin-Benson cycle
426,Q8RWV0,pentose phosphate pathway
427,Q8RXD9,starch degradation
428,Q8RXS1,
429,Q8RXU4,glycine synthesis
430,Q8RY94,IMP synthesis
431,Q8RY94,AMP synthesis
432,Q8S895,cysteine synthesis
433,Q8VYL1,nucleotide metabolism
434,Q8VYN6,glycolysis
435,Q8VYV7,Shikimate pathway
436,Q8VYW2,starch degradation
437,Q8VZC3,proline degradation
438,Q8W2B8,cysteine synthesis
439,Q8W493,light reactions
440,Q8W4M5,pyrophosphate recycling
441,Q93V56,pyrophosphate recycling
442,Q93XN8,sucrose synthesis
443,Q93Z53,glycolysis
444,Q93Z66,PRPP synthesis
445,Q93Z70,arginine synthesis
446,Q93ZN9,lysine synthesis
447,Q93ZW0,pentose phosphate pathway
448,Q941A0,tricarboxylic acid cycle
449,Q941A0,oxidative phosphorylation
450,Q941A6,tricarboxylic acid cycle
451,Q941A6,oxidative phosphorylation
452,Q941L0,cellulose synthesis
453,Q944G9,Calvin-Benson cycle
454,Q944G9,glycolysis
455,Q944I4,photorespiration
456,Q945K7,tricarboxylic acid cycle
457,Q945L0,oxidative phosphorylation
458,Q949Q5,light reactions
459,Q949X7,lysine synthesis
460,Q94A28,tricarboxylic acid cycle
461,Q94A28,pyruvate metabolism
462,Q94A28,glyoxylate cycle
463,Q94A41,starch degradation
464,Q94A94,lysine synthesis
465,Q94AA4,glycolysis
466,Q94AR8,leucine synthesis
467,Q94B78,photorespiration
468,Q94BT0,sucrose synthesis
469,Q94BV7,
470,Q94C74,photorespiration
471,Q94CE3,carbon fixation
472,Q94CE4,carbon fixation
473,Q94CE5,glutamate degradation
474,Q94JQ6,cellulose synthesis
475,Q94JS0,oxidative phosphorylation
476,Q95695,
477,Q95748,oxidative phosphorylation
478,Q96250,
479,Q96251,
480,Q96252,
481,Q96253,
482,Q96255,serine synthesis
483,Q96528,photorespiration
484,Q96528,glycine synthesis
485,Q96529,AMP synthesis
486,Q9ASS6,
487,Q9C522,actyl-coenzyme A synthesis
488,Q9C544,
489,Q9C550,leucine synthesis
490,Q9C5A9,
491,Q9C5E8,tricarboxylic acid cycle
492,Q9C5E8,oxidative phosphorylation
493,Q9C5J7,glycolysis
494,Q9C5U8,histidine synthesis
495,Q9C6F5,carbon fixation
496,Q9C9C4,glycolysis
