,prot
Q8LEE7,"Ubiquinol oxidase 3, mitochondrial"
Q8LEV7,Probable 6-phosphogluconolactonase 5
Q8LFC0,"Isocitrate dehydrogenase [NAD] regulatory subunit 1, mitochondrial"
Q8LG70,Probable 6-phosphogluconolactonase 2
Q8LG77,"Isocitrate dehydrogenase [NAD] catalytic subunit 6, mitochondrial"
Q8LPI9,"N-(5'-phosphoribosyl)anthranilate isomerase 3, chloroplastic"
Q8LPJ5,"Isocitrate dehydrogenase [NADP], chloroplastic/mitochondrial"
Q8LPK5,Cellulose synthase A catalytic subunit 8 [UDP-forming]
Q8RU07,"EMBRYO DEFECTIVE 3147, Putative malonyl-CoA"
Q8RWN9,"Dihydrolipoyllysine-residue acetyltransferase component 2 of pyruvate dehydrogenase complex, mitochondrial"
Q8RWV0,"Transketolase-1, chloroplastic"
Q8RXD9,4-alpha-glucanotransferase DPE2
Q8RXS1,"Photosynthetic NDH subunit of subcomplex B 4, chloroplastic"
Q8RXU4,Low-specificity L-threonine aldolase 1
Q8RY94,Adenylosuccinate lyase
Q8S895,Serine acetyltransferase 2
Q8VYL1,"Adenylate kinase 5, chloroplastic"
Q8VYN6,"ATP-dependent 6-phosphofructokinase 5, chloroplastic"
Q8VYV7,"3-dehydroquinate synthase, chloroplastic"
Q8VYW2,Inactive beta-amylase 9
Q8VZC3,"Delta-1-pyrroline-5-carboxylate dehydrogenase 12A1, mitochondrial"
Q8W2B8,Serine acetyltransferase 4
Q8W493,"Ferredoxin--NADP reductase, leaf isozyme 2, chloroplastic"
Q8W4M5,Pyrophosphate--fructose 6-phosphate 1-phosphotransferase subunit beta 1
Q93V56,Soluble inorganic pyrophosphatase 1
Q93XN8,Probable sucrose-phosphatase 3b
Q93Z53,"Plastidial pyruvate kinase 3, chloroplastic"
Q93Z66,"Ribose-phosphate pyrophosphokinase 3, chloroplastic"
Q93Z70,"Probable N-acetyl-gamma-glutamyl-phosphate reductase, chloroplastic"
Q93ZN9,"LL-diaminopimelate aminotransferase, chloroplastic"
Q93ZW0,"Inactive glucose-6-phosphate 1-dehydrogenase 4, chloroplastic"
Q941A0,"Succinate dehydrogenase subunit 4, mitochondrial"
Q941A6,"Succinate dehydrogenase subunit 6, mitochondrial"
Q941L0,Cellulose synthase A catalytic subunit 3 [UDP-forming]
Q944G9,"Fructose-bisphosphate aldolase 2, chloroplastic"
Q944I4,"D-glycerate 3-kinase, chloroplastic"
Q945K7,"Isocitrate dehydrogenase [NAD] catalytic subunit 5, mitochondrial"
Q945L0,Cytochrome c oxidase subunit 6b-2
Q949Q5,Photosystem I subunit O
Q949X7,"Diaminopimelate decarboxylase 1, chloroplastic"
Q94A28,"Aconitate hydratase 2, mitochondrial"
Q94A41,"Alpha-amylase 3, chloroplastic"
Q94A94,"Diaminopimelate decarboxylase 2, chloroplastic"
Q94AA4,ATP-dependent 6-phosphofructokinase 3
Q94AR8,"3-isopropylmalate dehydratase large subunit, chloroplastic"
Q94B78,"Glycine dehydrogenase (decarboxylating) 1, mitochondrial"
Q94BT0,Sucrose-phosphate synthase 1
Q94BV7,"External alternative NAD(P)H-ubiquinone oxidoreductase B2, mitochondrial"
Q94C74,"Serine hydroxymethyltransferase 2, mitochondrial"
Q94CE3,"Beta carbonic anhydrase 5, chloroplastic"
Q94CE4,Beta carbonic anhydrase 4
Q94CE5,"Gamma-aminobutyrate transaminase POP2, mitochondrial"
Q94JQ6,Cellulose synthase A catalytic subunit 6 [UDP-forming]
Q94JS0,"Cytochrome b-c1 complex subunit Rieske-1, mitochondrial"
Q95695,"NAD(P)H-quinone oxidoreductase subunit 6, chloroplastic"
Q95748,NADH dehydrogenase [ubiquinone] iron-sulfur protein 3
Q96250,"ATP synthase subunit gamma, mitochondrial"
Q96251,"ATP synthase subunit O, mitochondrial"
Q96252,"ATP synthase subunit delta', mitochondrial"
Q96253,"ATP synthase subunit epsilon, mitochondrial"
Q96255,"Phosphoserine aminotransferase 1, chloroplastic"
Q96528,Catalase-1
Q96529,"Adenylosuccinate synthetase, chloroplastic"
Q9ASS6,"Photosynthetic NDH subunit of lumenal location 5, chloroplastic"
Q9C522,ATP-citrate synthase beta chain protein 1
Q9C544,"Chorismate mutase 3, chloroplastic"
Q9C550,"2-isopropylmalate synthase 2, chloroplastic"
Q9C5A9,"ATP synthase subunit beta-3, mitochondrial"
Q9C5E8,"Succinate dehydrogenase subunit 7A, mitochondrial"
Q9C5J7,ATP-dependent 6-phosphofructokinase 7
Q9C5U8,"Histidinol dehydrogenase, chloroplastic"
Q9C6F5,"Beta carbonic anhydrase 6, mitochondrial"
Q9C9C4,"Enolase 1, chloroplastic"
Q9C9K3,Pyrophosphate--fructose 6-phosphate 1-phosphotransferase subunit alpha 2
Q9C9W5,"Glycerate dehydrogenase HPR, peroxisomal"
Q9CA83,"NADP-dependent malic enzyme 4, chloroplastic"
Q9CA90,Glyoxylate/hydroxypyruvate reductase A HPR2
Q9CAC5,"NAD(P)H-quinone oxidoreductase subunit L, chloroplastic"
Q9CAD1,GMP synthase [glutamine-hydrolyzing]
Q9FFP6,Pyruvate kinase
Q9FFR3,"6-phosphogluconate dehydrogenase, decarboxylating 3, chloroplastic"
Q9FG89,"Photosynthetic NDH subunit of subcomplex B 5, chloroplastic"
Q9FGI6,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 1, mitochondrial"
Q9FGX1,ATP-citrate synthase beta chain protein 2
Q9FI53,Fumarate hydratase 2
Q9FIJ7,"Adenylate kinase 2, chloroplastic"
Q9FIK0,ATP-dependent 6-phosphofructokinase 2
Q9FIN1,Probable 6-phosphogluconolactonase 4
Q9FJ82,"Dihydrodipicolinate reductase-like protein CRR1, chloroplastic"
Q9FJP9,"Succinate dehydrogenase [ubiquinone] iron-sulfur subunit 3, mitochondrial"
Q9FJU0,"Malate dehydrogenase 3, cytoplasmic"
Q9FK35,Adenylate kinase 3
Q9FKG3,"ATP-dependent 6-phosphofructokinase 4, chloroplastic"
Q9FKS5,"Cytochrome c1 2, heme protein, mitochondrial"
Q9FKW6,"Ferredoxin--NADP reductase, leaf isozyme 1, chloroplastic"
Q9FLB7,"Cytochrome b-c1 complex subunit 8-2, mitochondrial"
Q9FLH2,"2-oxoglutarate dehydrogenase, mitochondrial"
Q9FLK2,Probable cytochrome c oxidase subunit 5C-3
Q9FLQ4,"Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex 1, mitochondrial"
Q9FLW9,Plastidial pyruvate kinase 2
Q9FMD9,Glutamine synthetase cytosolic isozyme 1-4
Q9FMT1,"3-isopropylmalate dehydrogenase 1, chloroplastic"
Q9FNF2,"Starch synthase 1, chloroplastic/amyloplastic"
Q9FNJ8,"Arogenate dehydratase 5, chloroplastic"
Q9FNK4,"Ornithine aminotransferase, mitochondrial"
Q9FNN1,Pyruvate kinase
Q9FNN5,"NADH dehydrogenase [ubiquinone] flavoprotein 1, mitochondrial"
Q9FT52,"ATP synthase subunit d, mitochondrial"
Q9FVC8,"4-hydroxy-tetrahydrodipicolinate synthase 2, chloroplastic"
Q9FWA3,"6-phosphogluconate dehydrogenase, decarboxylating 2"
Q9FX54,"Glyceraldehyde-3-phosphate dehydrogenase GAPC2, cytosolic"
Q9FX83,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 8-B, mitochondrial"
Q9FY99,"Glucose-6-phosphate 1-dehydrogenase 2, chloroplastic"
Q9FYA6,"Branched-chain-amino-acid aminotransferase 5, chloroplastic"
Q9FYE3,Alpha carbonic anhydrase 3
Q9FZ57,"Probable alpha,alpha-trehalose-phosphate synthase [UDP-forming] 2"
Q9LD43,"Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha, chloroplastic"
Q9LD57,"Phosphoglycerate kinase 1, chloroplastic"
