,Isoenzymes,ComplexID,Pmet
2664,Q8GWA1,pmet_NDA2_1_m,pmet_NDA2_1_m
2665,O80874,pmet_NDA2_1_m,pmet_NDA2_1_m
2666,Q1JPL4,pmet_NDA2_1_m,pmet_NDA2_1_m
2667,Q94BV7,pmet_NDA2_1_m,pmet_NDA2_1_m
2668,F4JJJ3,pmet_NDA2_1_m,pmet_NDA2_1_m
2669,Q9SKT7,pmet_NDA2_1_m,pmet_NDA2_1_m
2670,Q8GXR9,pmet_NDA2_1_m,pmet_NDA2_1_m
2671,Q8GWA1,pmet_NDA2_1_m,pmet_NDA2_2_m
2672,O80874,pmet_NDA2_1_m,pmet_NDA2_2_m
2673,Q1JPL4,pmet_NDA2_1_m,pmet_NDA2_2_m
2674,Q94BV7,pmet_NDA2_1_m,pmet_NDA2_2_m
2675,F4JJJ3,pmet_NDA2_1_m,pmet_NDA2_2_m
2676,Q9SKT7,pmet_NDA2_1_m,pmet_NDA2_2_m
2677,Q8GXR9,pmet_NDA2_1_m,pmet_NDA2_2_m
2684,Q01908,pmet_ATPase_h,pmet_ATPase_h_REV
2693,Q01909,pmet_ATPase_h,pmet_ATPase_h_REV
2694,Q9LD57,pmet_PGAK_h,pmet_PGAK_h_REV
2695,P50318,pmet_PGAK_h,pmet_PGAK_h_REV
2696,P48491,pmet_TPI_h,pmet_TPI_h_REV
2697,Q9SKP6,pmet_TPI_h,pmet_TPI_h_REV
2698,Q9ZU52,pmet_FBPA_h,pmet_FBPA_h_REV
2699,O65581,pmet_FBPA_h,pmet_FBPA_h_REV
2700,Q9LF98,pmet_FBPA_h,pmet_FBPA_h_REV
2701,Q944G9,pmet_FBPA_h,pmet_FBPA_h_REV
2702,F4KGQ0,pmet_FBPA_h,pmet_FBPA_h_REV
2703,Q9SJU4,pmet_FBPA_h,pmet_FBPA_h_REV
2704,Q8RWV0,pmet_FTK_h,pmet_FTK_h_REV
2705,F4IW47,pmet_FTK_h,pmet_FTK_h_REV
2706,Q8RWV0,pmet_FTK_h,pmet_STK_h_REV
2707,F4IW47,pmet_FTK_h,pmet_STK_h_REV
2708,O49299,pmet_PGM_h,pmet_PGM_h_REV
2709,Q9SGC1,pmet_PGM_h,pmet_PGM_h_REV
2710,Q9SCY0,pmet_PGM_h,pmet_PGM_h_REV
2711,P48491,pmet_TPI_h,pmet_TPI_c_REV
2712,Q9SKP6,pmet_TPI_h,pmet_TPI_c_REV
2713,P22197,pmet_FBPA_c,pmet_FBPA_c_REV
2714,O65581,pmet_FBPA_c,pmet_FBPA_c_REV
2715,Q9LF98,pmet_FBPA_c,pmet_FBPA_c_REV
2716,Q9SJQ9,pmet_FBPA_c,pmet_FBPA_c_REV
2717,F4KGQ0,pmet_FBPA_c,pmet_FBPA_c_REV
2718,Q8H103,pmet_PGI_c,pmet_PGI_c_REV
2719,P34795,pmet_PGI_c,pmet_PGI_c_REV
2720,O49299,pmet_PGM_h,pmet_PGM_c_REV
2721,Q9SGC1,pmet_PGM_h,pmet_PGM_c_REV
2722,Q9SCY0,pmet_PGM_h,pmet_PGM_c_REV
2723,P57751,pmet_UGPase_c,pmet_UGPase_c_REV
2724,Q9M9P3,pmet_UGPase_c,pmet_UGPase_c_REV
2725,P49040,pmet_SucS_c,pmet_SucS_c_REV
2726,Q00917,pmet_SucS_c,pmet_SucS_c_REV
2727,Q9LXL5,pmet_SucS_c,pmet_SucS_c_REV
2728,P57106,pmet_MalDH1_c,pmet_MalDH1_c_REV
2729,Q9FJU0,pmet_MalDH1_c,pmet_MalDH1_c_REV
2730,P93819,pmet_MalDH1_c,pmet_MalDH1_c_REV
2731,Q9MAH0,pmet_PEPC2_c,pmet_PEPC2_c_REV
2732,Q5GM68,pmet_PEPC2_c,pmet_PEPC2_c_REV
2733,Q84VW9,pmet_PEPC2_c,pmet_PEPC2_c_REV
2734,Q8GVE8,pmet_PEPC2_c,pmet_PEPC2_c_REV
2735,Q9ZW34,pmet_Enol_c,pmet_Enol_c_REV
2736,P25696,pmet_Enol_c,pmet_Enol_c_REV
2737,Q9SCS3,pmet_PGAM_c,pmet_PGAM_c_REV
2738,O04499,pmet_PGAM_c,pmet_PGAM_c_REV
2739,Q9M9K1,pmet_PGAM_c,pmet_PGAM_c_REV
2740,Q9LD57,pmet_PGAK_c,pmet_PGAK_c_REV
2741,Q9SAJ4,pmet_PGAK_c,pmet_PGAK_c_REV
2742,P25858,pmet_GAPDH2_c,pmet_GAPDH2_c_REV
2743,Q9FX54,pmet_GAPDH2_c,pmet_GAPDH2_c_REV
2744,Q9SAJ6,pmet_GAPDH2_h,pmet_GAPDH2_h_REV
2745,Q5E924,pmet_GAPDH2_h,pmet_GAPDH2_h_REV
2746,Q9LM13,pmet_PGAM_h,pmet_PGAM_h_REV
2747,F4I8M8,pmet_PGAM_h,pmet_PGAM_h_REV
2748,Q9C9C4,pmet_Enol_h,pmet_Enol_h_REV
2749,P25696,pmet_Enol_h,pmet_Enol_h_REV
2750,Q42560,pmet_cACNDHA_m,pmet_cACNDHA_m_REV
2751,Q9SIB9,pmet_cACNDHA_m,pmet_cACNDHA_m_REV
2752,Q94A28,pmet_cACNDHA_m,pmet_cACNDHA_m_REV
2753,Q42560,pmet_cACNDHA_m,pmet_cACNHA_m_REV
2754,Q9SIB9,pmet_cACNDHA_m,pmet_cACNHA_m_REV
2755,Q94A28,pmet_cACNDHA_m,pmet_cACNHA_m_REV
2756,P93033,pmet_FumHA_m,pmet_FumHA_m_REV
2757,Q9FI53,pmet_FumHA_m,pmet_FumHA_m_REV
2758,Q9ZP06,pmet_MalDH1_m,pmet_MalDH1_m_REV
2759,Q9LKA3,pmet_MalDH1_m,pmet_MalDH1_m_REV
3120,Q9SZJ5,pmet_GlyHMT_m,pmet_GlyHMT_m_REV
3121,Q94C74,pmet_GlyHMT_m,pmet_GlyHMT_m_REV
3122,O82399,pmet_MalDH1_p,pmet_MalDH1_p_REV
3123,Q9ZP05,pmet_MalDH1_p,pmet_MalDH1_p_REV
3124,Q9FWA3,pmet_6PGDHNAD_h,pmet_6PGDHNAD_h_REV
3125,Q9SH69,pmet_6PGDHNAD_h,pmet_6PGDHNAD_h_REV
3126,Q9FFR3,pmet_6PGDHNAD_h,pmet_6PGDHNAD_h_REV
3127,Q9FWA3,pmet_6PGDHNAD_h,pmet_6PGDHNADP_h_REV
3128,Q9SH69,pmet_6PGDHNAD_h,pmet_6PGDHNADP_h_REV
3129,Q9FFR3,pmet_6PGDHNAD_h,pmet_6PGDHNADP_h_REV
3130,A0A178UD24,pmet_TA_h,pmet_TA_h_REV
3131,Q9LYR4,pmet_TA_h,pmet_TA_h_REV
3132,F4IC59,pmet_TA_h,pmet_TA_h_REV
3133,Q9SN86,pmet_MalDH1_h,pmet_MalDH1_h_REV
3134,Q9ZP05,pmet_MalDH1_h,pmet_MalDH1_h_REV
3135,Q9SYP2,pmet_PPIF6PK_c,pmet_PPIF6PK_c_REV
3136,Q9C9K3,pmet_PPIF6PK_c,pmet_PPIF6PK_c_REV
3137,Q8W4M5,pmet_PPIF6PK_c,pmet_PPIF6PK_c_REV
3138,F4JGR5,pmet_PPIF6PK_c,pmet_PPIF6PK_c_REV
3139,P11832,pmet_NO3R1_c,pmet_NO3R2_c_REV
3140,P11035,pmet_NO3R1_c,pmet_NO3R2_c_REV
3141,Q9LDV4,pmet_AlaTA_m,pmet_AlaTA_m_REV
3142,Q9SR86,pmet_AlaTA_m,pmet_AlaTA_m_REV
3143,F4I7I0,pmet_AlaTA_m,pmet_AlaTA_m_REV
3144,Q9LR30,pmet_GGAT_p,pmet_AlaTA_p_REV
3145,Q9S7E9,pmet_GGAT_p,pmet_AlaTA_p_REV
3146,Q8GYY0,pmet_AspAT_c,pmet_AspAT_c_REV
3147,Q9LQ10,pmet_AspAT_c,pmet_AspAT_c_REV
3148,P46646,pmet_AspAT_c,pmet_AspAT_c_REV
